"","Fitted","Actual","Date"
"183",279.303031177507,279.303034483887,"1765-03-15"
"184",279.544401693173,279.544389326361,"1765-04-15"
"185",279.48944838821,279.489409793375,"1765-05-15"
"186",278.758464482845,278.758386333951,"1765-06-15"
"187",277.120348931402,277.120280895505,"1765-07-15"
"188",275.519063463771,275.519192002512,"1765-08-15"
"189",275.480451873007,275.480745014609,"1765-09-15"
"190",276.518602875801,276.518639451799,"1765-10-15"
"191",277.524001887497,277.523875196507,"1765-11-15"
"192",278.161574843506,278.161525350712,"1765-12-15"
"193",278.622083600735,278.622136414174,"1766-01-15"
"194",279.005154185562,279.005221168901,"1766-02-15"
"195",279.347146973881,279.347212051308,"1766-03-15"
"196",279.587948083043,279.588000921853,"1766-04-15"
"197",279.532658643336,279.532688689165,"1766-05-15"
"198",278.801602016314,278.801595943197,"1766-06-15"
"199",277.163707297234,277.163714772371,"1766-07-15"
"200",275.562966359795,275.563173838325,"1766-08-15"
"201",275.5252569062,275.52561293161,"1766-09-15"
"202",276.564661589748,276.564689349383,"1766-10-15"
"203",277.571521635587,277.571347777583,"1766-11-15"
"204",278.210720363616,278.210606121706,"1766-12-15"
"205",278.672980724435,278.672955685029,"1767-01-15"
"206",279.057877060645,279.057854053075,"1767-02-15"
"207",279.401715309102,279.401678465776,"1767-03-15"
"208",279.644326553986,279.644265587107,"1767-04-15"
"209",279.590756764339,279.59066112921,"1767-05-15"
"210",278.861274112796,278.861130485556,"1767-06-15"
"211",277.224752499863,277.224610548085,"1767-07-15"
"212",275.625128600539,275.625174781947,"1767-08-15"
"213",275.588213448386,275.588420986257,"1767-09-15"
"214",276.628047133243,276.628022338007,"1767-10-15"
"215",277.635130385266,277.634955508096,"1767-11-15"
"216",278.274366445071,278.274270390983,"1767-12-15"
"217",278.736484898114,278.736490278909,"1768-01-15"
"218",279.121086605286,279.121104746363,"1768-02-15"
"219",279.464508312783,279.464523022236,"1768-03-15"
"220",279.706612839351,279.706613759469,"1768-04-15"
"221",279.652478088163,279.652454659171,"1768-05-15"
"222",278.922404209003,278.922343103772,"1768-06-15"
"223",277.285297088788,277.285247974178,"1768-07-15"
"224",275.685125390388,275.685274724504,"1768-08-15"
"225",275.6477399861,275.648048299232,"1768-09-15"
"226",276.687223186953,276.687242103193,"1768-10-15"
"227",277.693987731379,277.693823640809,"1768-11-15"
"228",278.332929027547,278.332833626866,"1768-12-15"
"229",278.794785343835,278.794786173928,"1769-01-15"
"230",279.179152227689,279.179161676808,"1769-02-15"
"231",279.522358079304,279.522360184722,"1769-03-15"
"232",279.76425671752,279.764241170935,"1769-04-15"
"233",279.709916904582,279.709873156878,"1769-05-15"
"234",278.979629618953,278.979544345309,"1769-06-15"
"235",277.342291569728,277.342214437455,"1769-07-15"
"236",275.741862240313,275.741979707757,"1769-08-15"
"237",275.704181234079,275.704458801919,"1769-09-15"
"238",276.743319645752,276.743343866299,"1769-10-15"
"239",277.749765092606,277.74963415337,"1769-11-15"
"240",278.388454270366,278.388402242894,"1769-12-15"
"241",278.85014359966,278.850194112411,"1770-01-15"
"242",279.234457424122,279.234522021713,"1770-02-15"
"243",279.577755347219,279.577817884994,"1770-03-15"
"244",279.819922910065,279.819973040497,"1770-04-15"
"245",279.766060709113,279.766087874629,"1770-05-15"
"246",279.036491581175,279.036482455126,"1770-06-15"
"247",277.400144098906,277.400148348193,"1770-07-15"
"248",275.801009610342,275.801213693249,"1770-08-15"
"249",275.764961386009,275.765323316751,"1770-09-15"
"250",276.806100950021,276.806129002033,"1770-10-15"
"251",277.814749616314,277.814546009309,"1770-11-15"
"252",278.45571674221,278.455562138925,"1770-12-15"
"253",278.919709738534,278.919638589003,"1771-01-15"
"254",279.306276657642,279.306202839915,"1771-02-15"
"255",279.651694153858,279.651602026443,"1771-03-15"
"256",279.895763383552,279.895642707409,"1771-04-15"
"257",279.843500248842,279.843340489804,"1771-05-15"
"258",279.115142825496,279.114930661948,"1771-06-15"
"259",277.479534910723,277.479320010628,"1771-07-15"
"260",275.880583073964,275.880551895844,"1771-08-15"
"261",275.84407174702,275.844193240114,"1771-09-15"
"262",276.883994326193,276.883925896212,"1771-10-15"
"263",277.890925278076,277.890782148309,"1771-11-15"
"264",278.529905911169,278.529869371768,"1771-12-15"
"265",278.991688049611,278.991768339726,"1772-01-15"
"266",279.375920330466,279.376026107574,"1772-02-15"
"267",279.718994888236,279.719109385108,"1772-03-15"
"268",279.960831571299,279.960944306166,"1772-04-15"
"269",279.906565666403,279.906666052758,"1772-05-15"
"270",279.176554783284,279.176629488218,"1772-06-15"
"271",277.539762285319,277.539860974351,"1772-07-15"
"272",275.940214315039,275.940523446172,"1772-08-15"
"273",275.903819381285,275.904298340013,"1772-09-15"
"274",276.944743459202,276.944868836803,"1772-10-15"
"275",277.953316120821,277.953155524908,"1772-11-15"
"276",278.594277572656,278.594149055154,"1772-12-15"
"277",279.05836408883,279.058313476153,"1773-01-15"
"278",279.445135495508,279.445079118763,"1773-02-15"
"279",279.79087322163,279.790795968248,"1773-03-15"
"280",280.035381688902,280.035273433918,"1773-04-15"
"281",279.98367973942,279.983529973249,"1773-05-15"
"282",279.256008318715,279.255803725048,"1773-06-15"
"283",277.621214078701,277.621004326585,"1773-07-15"
"284",276.023206440133,276.023177988348,"1773-08-15"
"285",275.98777420189,275.987892063993,"1773-09-15"
"286",277.028906087623,277.028807922138,"1773-10-15"
"287",278.037106669132,278.036940303737,"1773-11-15"
"288",278.67743872046,278.677381536337,"1773-12-15"
"289",279.140639629012,279.14069734526,"1774-01-15"
"290",279.526339438661,279.526419738077,"1774-02-15"
"291",279.870914471594,279.871000376767,"1774-03-15"
"292",280.114269363512,280.114350347353,"1774-04-15"
